movie,review
alamar,"  ""Beautiful, gentle people. Wonderful life they live. How sad for the child to be taken from there to live in the ""real"" world.  ""Even though this is a very simple film I enjoyed it very much.  ""This is a very different kind of documentary from the ones I usually watch.\n\n It was very simple yet very ""warm"" and touching."
cropsey,"  ""Decent, but a little slow.  ""Creepy, but interesting. A solid documentary that does what you want it to do.  ""Brilliantly made documentary."
buried,"  ""Great performance and gripping story. Arguably one of the best claustrophobic movies.  ""Amazing performance from Ryan, though the ending could have been better.  ""Hmmmm...alot of fire in there that didn""t suck up any oxygen i see"
untitled_eliot_spitzer_project," Great documentary about one of the great tragedies of our time.  Hubris derailed what could have been a progressive uprising in our country not seen since FDR.  ""Gripping documentary.   This guy pissed off alot of people and they came back for vengeance.  ""Uneven, uninspiring docudrama that should have been way more interesting than it was; failed to follow up on a host of interesting questions."
winnebago_man," History Lesson for the UTube Generation  ""Hilarious and touching."
my-dog-tulip,"  ""dreamy, just as magical as the book!  ""amazing animated documentary.  ""Lady and the Tramp, uncensored.  ""J.R. Ackerley""s bitter poetry"
father_of_my_children,"  ""A quiet movie that tackles a very difficult subject with empathy and compassion.  It gives evidence to how men are defined by their work.  ""Sensitive look at the effect suicide has on one family.  ""I preferred the first half to the second half, because even though the after-effects of the central event are explored, they""re explored so sloooowly."
0878835,"  ""Surprised and delighted."
easy-a,"  """"Easy A"" is a funny teen flick with a charming female lead in Emma Stone  ""A smart mature and remarkably witty movie about the damage done by gossip and verbal bullying in a high school setting.  ""Cute, uneven high school comedy that made Emma Stone a star. Very reminiscent of “10 Things I Hate About You.”   ""6.7 Real, not terribly inventive. The conflict around belonging, acceptance and meaning were lightly treated. Could have been more, but still lively. CGreenSnyder  ""Easy A is a colourful, breezy comedy with some emotional heart too. It made for pleasant viewing."
scott_pilgrims_vs_the_world,"  ""Lots of nerdy fun 🤩  ""Excellent cast! Fun!  ""bloody brilliant!!!!"
los_ojos_de_julia,"  ""That""s just awesome"
10012063-ghost_writer," This isn""t one from Polanski""s catalogue that excessively stands out like ‘Tess  ""Unpleasant boring  and with a deeply unsatisfying ending. The entire thing is by the numbers as far as I am concerned.  ""It""s far from perfect, but it has a tense narrative, an stylish direction and compelling performances.  ""Great plot and directing by Roman Polanski"
get_low,"  ""I like Duval but I just couldn""t get through it. I really don""t get the draw and intrigue for this movie.  ""Different with great cast and heartwarming performances.  ""Get Low is no go. What a formulaic loser. Sappy pseudo Hallmark miss."
terribly_happy," Very good performance.  ""Stylish but not altogether engaging.  ""Very low-key, yet at all times interesting. Some interesting twists."
hubble_3d,"  ""Leo might win his Oscar now  ""Phenomenal imagery of our universe  ""if Leo is in it must be good"
alle_anderen,"  ""Any thing can be made into a movie basically, but this was kind-of-blah.  Tolerable, but then the ending...WTF???  ""Gitti is nuts.  Take her out of the plot and the movie would be, well, even more boring.  ""Maren Ade did a remarkable job in her role(s) with this film  ""Grateful I no longer want to be ""like everyone else."""
white_material,"  ""A great movie by Claire Denis with an inspired Isabelle Huppert  ""Female lead did fight really hard for what she wanted...  ""mezmerizing. hupert is superb. and some scenes.... are just hard to erase from memory."
the_square," 6.3/10 — ""Okay""/""Decent""/""Watchable""\n\n-(Seen on 1/30/21)  ""very good robbery caper film.   ""Fantastic story and acting.  Loaded with twists and turns.  Watch it!"
farewell,"  ""Fascinating largely-real-life episode, and a very well made film around it.  ""Great spy thriller if you don""t Mind reading subtitles.  ""I""m glad I saw this before bedtime, because it put me right to sleep."
looking_for_eric,"  ""Watched this a few years ago great wee film!!!!!!  ""It had me until the gun showed up and then the whole film became TOO surreal."
1214097-despicable_me," Beautiful film, really liked it.  ""minion battle fortnite battle royale"
