movie,review
the_imposter_2012,"  ""Chilling and to some degree unbelievable, it""s an interesting documentary  ""Loved the story and the guys honesty."
marley,"  ""This film was solid.  ""Amazing documentary that is full of soul and spirit"
the_sessions,"  ""Both lighthearted and surprisingly respectful of the serious subject matter including the faith aspect.  ""This was good sad and funny throughout.  ""Smart and poignant , ""The Sessions"" is an emotionally satisfying character study topped off with some excellent performances."
django_unchained_2012," My favourite film of all time  ""Epic. Amazing acting, thrilling action and a bloody masterpiece if you ask me."
chasing_ice_2012,"  ""7/10.\nClimate change / Global warming is real.  ""Important and impressive film but should""ve shown a lot more of the time-lapse material the whole film is about.  ""Absolutely stunning photography and filming. Sad and eye opening, couldn""t look away."
lenfant_den_haut,"  ""Kacey Mottet Klein (Simon) simply rocks.  ""muyyyy buena! gracias isat"
wake_in_fright,"  ""Powerful Aussie classic.  ""EVIL SCUMBAG MOVIE!!!!!!!!!!!!!!!!!!!!!"
brooklyn_castle_2012," This film was almost good.  ""Feel good documentary. What is not to like?  ""always like inspirational movies."
5_broken_cameras_2012,"  ""Seeing is believing.  ""Compelling story. Simply and powerfully told."
marina_abramovic_the_artist_is_present_2012,"  ""Very bad documentary  ""Appreciate it. Zen displayed through Art.....  ""Surprisingly moving. Marina is the canvas. One of the more powerful documentaries that I""ve seen of late.  she may as well be the very first person that comes to mind.  When classifying ""artists"
barbara_2012,"  ""Really enjoyed this quiet drama.  ""Slow and quiet but rather too ponderous.  ""Slow and thoughtful. As though we were watching the heroine examine her life."
safety_not_guaranteed," Movie Rating: 7.5/10  ""Cool and twisted movie  ""Aubrey Plaza and Mark Duplass are incredible in this!"
headhunters,"  ""Headhunters is among the most entertaining mystery films I""ve ever seen.  ""Nothing more than your average polar/thriller"
i_wish_2012,"  ""Thoroughly pleasant, but came up short of the sublime ""Shoplifters.""  ""lovely heart warming drama from Japan"
the_hunger_games,"  ""a choppy, messy adaptation of an amazing book.  ""This movie is a good enough introduction to this otherwise fun franchise.\nMy grade: B  ""this is iconic! i really like it. (i find it kinda funny when katniss screams ""pEEtAAAAA!!"")"
diana_vreeland_the_eye_has_to_travel_2012,"  ""incredibly interesting woman.  conventionally mediocre documentary.  ""watching this indi hindi movie documentry  ""A decent intro to the superficial aspects of her life."
the_house_i_live_in," Imagine how boring a Drug Free America would actually be  ""Amazing, thought provoking, enlightening & terrifying. I""ve recommended this to pretty much anyone I can. Wonderful documentary.  ""absolutely heartbreaking, mind boggling, frustrating....one of the best docs I have ever seen."
paranorman,"  ""Watching ""ParaNorman"
elena_2012," The director makes the statement that the devil you know might strike any time. The darkness is present all around. This is not Disney.  ""A slow moving character study with a depiction of  post Communist  Russian society.  ""Beautifully shot, with a compelling narrative. From the opening, almost haunting, scene to the last it was hard to look away.  ""WOW.....WOW....SUCH AN ENJOYABLE MOVIE 2 WATCH WITH SUCH A FANTASTIC CAST THROUGHOUT THIS MOVIE IT IS SUCH A FANTASTIC MOVIE 2 WATCH WITH SUCH A BRILLIANT CAST THROUGHOUT THIS MOVIE......WARNING THIS MOVIE CONTAINS STROBE LIGHTNING EFFECTS THROUGHOUT SOME SCENES THROUGHOUT THIS MOVIE....... ITS GOT SUCH A FANTASTIC SOUNDTRACK THROUGHOUT THIS MOVIE IT IS SUCH A BRILLIANT MOVIE 2 WATCH WITH A BRILLIANT CAST THROUGHOUT THIS MOVIE........THIS IS SUCH A CULT CLASSICS MOVIE 2 WATCH WITH SUCH A SUPERB CAST THROUGHOUT THIS MOVIE IT IS SUCH A BRILLIANT MOVIE 2 WATCH......."
sing_your_song,"  ""I would like to see the earlier versions of Carmen! let""s do it again is my favorite of all time.  ""Interesting for the fact that it focuses on the political force that has personally driven Harry Belafonte throughout his career rather than the career itself.  ""My grandmother loves Harry Belafonte and now I know why. He is an amazing man with sturdy beliefs.  ""Incredible the sacrifices this man for the betterment of humanity. I had no idea he stood shoulder to shoulder w the likes of King, Mandela, Tutu, and influenced JFK and RFK."
life-of-pi,"  ""If you lost hope watch this movie.  ""Movie was good. The misrepresentation of Christ is abhorrent and utterly offensive."
farewell_my_queen,"  ""6.4/10, my review: http://wp.me/p1eXom-2Ez  ""Tried watching but couldn""t get into it.  ""Beautiful and it really captured the era."
frankenweenie_2012,"  ""A fun story and beautiful animation."
first_position_2011," This was like ""Spellbound"" but with ballet.  Very intense.  ""Best movie ever! So inspiring.  ""Pretty excellent if you care at all about dance."
side_by_side_2012,"  ""good documentary, rich in information  ""very well made and informative  ""Worthwhile for those interested in a little technical film history."
once_upon_a_time_in_anatolia,"  ""Mind shatteringly boring.  ""One of the chilliest thrills I have ever experienced in a movie."
the_central_park_five_2012,"  ""It was real and heart breaking to wat h. This story needs to be told and the movie captures it well!  ""OMG!! SHOCKING!! Could not take my eyes off of it! Sad but true events!!!  ""A detailed documentary showing the how the lives of five innocent black and Latino teenagers were damaged by the US criminal (in)justice system."
compliance_2012," I couldn""t watch this without constantly telling myself, no one is this dumb or this could never happen.  ""The sexual assault was pretty hard to watch. But great performances and score.  ""Extremely disturbing and compelling because of how strong the actors are."
bernie_2011," Jack Black at his best.  ""Jack Black nails it.  ""Even if Jack Black irritates you - this is just brilliant"
wreck_it_ralph,"  ""was not bad way too scary!!! really like the girl she is cool  ""Videogaming + Disney storytelling = Subversive Classic?  ""Disney has enough to make a colourful and smart film like this.  ""It is awesome. As a gamer, I love the video game theme."
turn_me_on_dammit,"  ""A fresh Swedish comedy. I really enjoyed it. (The song Jag kommer is still playing in my head)."
o_som_ao_redor_2012," The contemplative experience is lost in a superficial and extremely pretentious plot to seek prominence in the ""sounds around"".  ""Um dos melhores filmes brasileiros dos últimos tempos."
the_master_2011," 5.7/10 — ""Mediocre""/""Passable""\n\n-(Seen on 5/4/21)  ""Engrossing, not much stranger than the truth.  ""To give this anything less than 5 stars would be a sin."
beasts_of_the_southern_wild,"  ""It""s a unique story. I loved it.  ""I wouldn""t waste my time with this movie."
en_kongelig_affaere,"  ""We are all slaves to something, for them, it is passion  ""It is a must see movie."
21_jump_street_2011,"  ""Pretty hilarious start but then it kinda just drones on until it""s over  ""A hilarious movie that has a great cast."
arbitrage,"  ""Not terrible. Not great.   ""“The Trailer was Better....”"
electric_boogaloo_the_wild_untold_story_of_cannon_films," this documentary is amazing, full of amazing movies."
the_raid_redemption,"  ""Electrifying and well executed. Evans"" The Raid Redemption is a breath of fresh air for martial arts movies  ""Full great action the whole movie"
keep_the_lights_on,"  ""Very realible. It""s not about a gay relationship, it""s about love in all its shapes.  ""good honest unfliching look at the complexities of relationships  ""One of the very few gay films of late that actually has something of meaning to both show and say.  ""A real perspective to the harshness of every day life and the doom of relationships."
chronicle," Pretty good, I wouldn""t write home about it, but it""s pretty good.  ""Perfection.I want more."
footnote,"  ""Subtle, acerbic look at the human condition, with a dash of academia thrown in for good measure.  ""A must watch for those in the academia or you are into Jewish culture.  ""Despite holding back, kinda amazing."
in_darkness_2011,"  ""A harrowing and haunting retelling."
end_of_watch,"  ""kickass action non-stop that""s what i like to see, wish Jake had some hair on his head tho  ""this movie made me laugh made me cry. both great actors  in a great movie"
the_pirates_band_of_misfits,"  ""It was interesting but the movie got boring and the movie had good animation  ""Funny, enjoyable, good score and overall a rewatchable joy  ""Loved it since I was 6."
seven_psychopaths," The most fucked-up movie I""ve seen since Pulp Fiction.  Amazing.  ""Very entertaining, especially if you like dark humor.  ""Your review will help others decide whether to watch."
the_perks_of_being_a_wallflower,"  ""Very relatable and realistic depiction of high school.  ""A beautiful and inspiring work of art that can appeal to the misunderstood adolescent in all of us.  ""One of my ALL TIME FAVORITES"
robot_and_frank,"  ""Robot & Frank is fantastic. Funny, tender, and genuine.  ""Its a nice, endearing film, but nothing more."
la_fee,"  ""Not sweet, not fun, just not  ""It is funny in a very very weird way!!!  ""This show is crazy!!!!"
the_turin_horse,"  ""If you have any existential depression, then watch and wait for dying.  ""Pretentious, boring, and bleak.  ""Awesome movie. Explores the troubles that  human existence face"
boy_2012,"  ""Really heartwarming and charming movie. Could be top 3 Taikas for me.  ""An excellent coming of age film, with Taika being as wacky as ever  ""The film is beautiful, innocent and captivating with a tragic undertone we all wish we could avoid! criminally under-rated!!"
bully_2012," Original, dramatic, & really for ages 13+ only; censoring, however (the swear words)!!!!!!!!!!!!!!!!!  ""Here was proof that teachers, administrators & parents need structured education in dealing with bullies.  ""So so very sad. Kids so young taking their own life. I think bullying has increased in the past 30 years and I think schools should be doing more to prevent bullying.  ""Hard to watch, but should be mandatory viewing for parents, kids, and anyone in childcare or education"
neil_young_journeys,"  ""good performance doc  ""Neil Young is classic!!!!"
polisse_2011,"  ""I can always appreciate when French cinema tries to be real.  ""Pour la scène de la mère qui laisse son enfant"
tabu_2012,"  ""Pure poetry! Loved every frame!  ""strange film hard to classify  ""A quiet masterpiece!"
rundskop_2012,"  ""Best Belgian Movie. Stop  ""A bit too flat until the ending scene."
middle_of_nowhere,"  ""Great movie, great acting, and great directing!!!!  ""acting was excellent... story was very slow  ""Exceptional! And real."
chico_and_rita,"  ""SEXIST. Did not age well.  ""Music and love, great little movie.  ""I""m happy an animated film like this exists; I just wish it was better."
miss_bala_2011," Believable story with some twists and turns. Good cast.  ""Solid thriller. Stephanie Sigman is sexy af  ""The action sequences are excellent but the plot is jumpy and uninvolving."
the_well_diggers_daughter," Loved all the characters and thank goodness there was a happy ending!  ""Un film trÃ¨s beau ! Je lui donne quatre Ã©toiles.  ""A good adaptation of the classic book by Marcel Pagnol. Solid film."
the_impossible_2012,"  ""Heavy on crying, but well-acted enough to add some urgency instead of totally devolving into melodrama.  ""BEST MOVIE EVER. MY FAVORITE MOVIE!!! DESERVES WAY MORE THAN 5 STARS!!!"
your_sisters_sister,"  ""Good acting and drama.  ""This is a goody.  Well done."
de_rouille_et_dos_2012," Bracingly realistic with an unique storyline which is compelling from start to finish  ""It was interesting. It was also very French. Aiaiaiaia. But interesting.  ""Marion is extraordinary actress,shame on academy not nominated her for best actress"
sleepwalk_with_me,"  ""This was the worst movie I""ve ever seen!!!!!!  ""Pretty solid intriguing movie. The guy was so frustrating though.  ""Special movie by a special dude."
snabba_cash_2012,"  ""http://filmreviewsnsuch.blogspot.com/2015/05/easy-money.html  ""Entertaining trilogy..."
starlet_2012, I thought it was a wonderful film.
brave_2012,"  ""Brave is boring and forgettable. The characters are lame and the whole plot is just stupid.  ""had some good moments but its just a fine movie  ""Everything good but the FFFFFFFFFFFF bear plot."
haywire_2011,"  ""Brilliant film, action packed, Gina Carano 5*****  ""Rating: 6/10. 61/100  ""Awesome fight scenes and Gina is a smoke show!"
magic_mike,"  ""Boring as hell. Quit watching halfway. They say it""s a comedy. Yeah, right.  ""A silly comedy drama made for girls, that somehow will have the guys liking it too."
declaration_of_war,"  ""WOW what a gem of a movie!!!!  ""Oh my, oh my! What a cinematic gem it is.  ""Pour la scène où tous apprennent le diagnostic"
the_big_picture_2012," Will surprisingly grab you as you are sucked up in the selfish moves of a seemingly boring lawyer as he ends up on the edge of survival  ""Great suspense, well acted, the images were well constructed......  ""loved this story of how easily life can change, making the wrong choices etc ..  ""Movies that you know nothing about but end up in your cue for some reason that are excellent- this is one of those."
detropia_2012,"  ""A great portrait of what has happened to America""s great city.  ""Netflix 8/4/14\nWatch this along with Burn and you will have the perfect formula for the decay and downfall of a major American city.  ""Detropia is essential viewing for those curious about the plight and possibilities of a great American City.  ""Maybe this movie marks the bottom of Detroit""s decay."
12_years_a_slave,"  ""Heart-breaking and just............wow.  ""Overated. Read the brilliant book instead."
gravity_2013,"  ""Why doesn""t the fast forward go any faster?  ""Can’t give it a 1 because of the special effects. But this movie is beyond boring. Jesus.   ""A lot of my friends told me to watch it but when i watch i disappointed!!"
before_midnight_2013,"  ""Achingly real and unmatched in its portrayals of relationships, a fabulous book end to a trilogy that has arguably explored it""s character relations and development in the most substantial of ways in film history.  ""Probably one of the best mature romance i""ve ever seen, it is so real, it has poignancy, drama, truth and joy, it is beautiful.  ""its like the most real and hopeful and magical love story, this is like love is, its not like romantic sh+t people told you when you are young about love. Love is like a journal and you have to learn and live the moment."
her,"  ""This movie had me in tears! The acting of Joaquin Phoenix is amazing as usual, and the moon song was amazing!  ""Endearing, sentimental, Phoenix and Scarlett 10/10  ""Her is innovative in both visuals and story. but, sadly it feels drawn-out and unfulfilling."
short_term_12_2013,"  ""Understand the likes, but i just can""t relate to the father-dayghter relationships in the movie  ""Brie and Kaitlyn did a great job. They age raw and moving performances. Stephanie Beatriz was a highlight as well  ""Excellent movie! Different, smart, original, sensitive. Thumbs up. 👍🏻 👍🏻  ""Brilliant and powerful movie. It""s one of the reasons why I became a counselor. "
captain_phillips,"  ""America good, Somalia bad!  ""excellent movie must watch  ""The movie is long but not at all boring.  Holds your attention constantly by perfect acting."
mud_2013,"  ""It""s just too slow. And not even that interesting. I lost interest about halfway and skimmed the rest of the way.  ""This is the other side of real America - great story which could happen anywhere, anytime  ""Long film. Could have been trimmed. Well acted but somewhat predictable"
american_hustle,"  ""I liked CB fat and filthy  ""A bit too scripted at parts, but overall fantastic."
20_feet_from_stardom,"  ""A beautifully directed documentary with a very interesting subject that is not covered that much.  ""A great documentary about something I had no clue about.  ""Lisa, Darlene and Merry were stars- shooting stars."
all_is_lost_2013," Worst movie I""ve ever seen.  ""Robert Redford is an incredible actor and without saying but a handful of words throughout the movie, he moves you in a way that only he can.  Great movie!"
inside_llewyn_davis_2013," 5.7/10 — ""Mediocre""/""Passable""\n\n-(Seen on 5/3/21)  ""The story of a total loser. The film is very boring, lackluster, dark, lacks dramatic elements."
wadjda_2013,"  ""Such a beautiful film.  ""It sucked, no action, nothing happened"
dallas_buyers_club_2013,"  ""Um dos melhores filmes que já assisti!  ""It""s a solid but unremarkable film   ""Amazing movie!!!! Matthew is your best performance!"
zero_dark_thirty,"  ""Outstanding film-making.  ""Pretty boring up to the attack. 5.5/10  ""Bigelow is very good. Chastain is very hot. I like  ""Oh man jessa Chastain is just god awful"
blackfish_2013,"  ""A must-see documentary for all animal lovers.  ""I""m not going to sea world ever again!"
enough_said_2013,"  ""What a joyous little slice of lemon meringue. Great script. Suoerb casting  ""Not pleasant to watch"
fruitvale_station,"  ""This movie is powerful. It""s definitely worth watching.  ""For an independent movie it""s a very well done. Michael B Jordan is amazing.  ""An introspective look at the moments before tragedy, it also takes advantage of its themes and Star power to make us more aware of how bad things can be."
the_square_2013," Educational and well-done.  We Americans are so fortunate.  ""Made the story accessible by focusing on a few people  ""Powerful and eye-opening."
the_hunger_games_catching_fire,"  ""Nice adventure movie and an impressive filming way.  ""So good! Not as great as the first one, but pretty heckin close.  ""Incredible film. As good as, if not better, than the book."
sound_city," Such an amazing music documentary.  ""If you like music, you""ll love this."
56_up," An excellent documentary.  ""This series is perfect, though each episode isn""t great on its own"
the_act_of_killing,"  ""Not what I was expecting, but learned a lot about this civil unrest (to put it lightly)  ""I""ve never seen people more disconnected from morality.  ""This is one of the best films of all time.  ""This film was solid."
nebraska," A sweet but never sappy story, full of pathos and humor.  ""A great story that is rich in its message, but perhaps better suited as a short story than a 2- hour film, perhaps."
more_than_honey,"  ""Interesting, but not for everyone  ""Interesting and informative  ""Informative but a bit jumbling.  ""Intense and informative."
the_selfish_giant_2013,"  ""A pearl. A very sad pearl, but a pearl nevertheless.  ""In a word: harrowing.  ""What an incredible film. I""m speechless."
a_hijacking," Slow burn. Great characters   ""Boardroom negotiation meets hostage negotiation.  ""Lindholm""s not in unexplored waters, but his strong direction will hijack your attention."
frozen_2013,"  ""pretty good and also cool  ""One of my favorite Disney film!"
muscle_shoals_2013," Fabulous documentary showing the victories and defeats and persistence of musicians who are doing it for love and success  ""Stones, Allman, Aretha, and oh so many more... awesome!  ""Fascinating doco of a studio responsible for some of the greatest music ever"
stories_we_tell,"  ""Really well done documentary...great directing and amazing editing! Neat stories, too! (AP)  ""A sometimes boring but still ending up interesting and a fulfilling doc  ""Great use of archival and reenactment footage in a documentary. "
call_me_kuchu_2011," Very good documentary. Very well made and down to earth.  ""It""s heartbreaking but you must watch it  ""Touching & real , even in the dark sides it""s showing"
let_the_fire_burn_2013," Fuck the Philadelphia Police. Solidarity with MOVE.  ""Meticulous and expertly researched. Excellent documentary.  ""Never before I watch a documentary that is so tensed, it""s almost like a thriller..."
blue_jasmine,"  ""Your review will help others decide whether to watch.  ""Actually really good."
frances_ha,"  ""It is one of the most relatable and releastic movies of all time.  ""27.09.2020 ---------"
blancanieves,"  ""Pablo Berger es un director no muy conocido, pero genio.  ""Elegant, handsome version of the old tale which returns to the spirit of the original story and the first days of cinema."
room_237_2012," Love The Shining, hate this documentary. Utter tosh.  ""‘Room 237"" A Gift For ‘Shining"" Obsessives!  ""I love this sort of movie. It was really clever and interesting.  ""A bunch of whackadoodle conspiracy theorists and their crazy conclusions. "
philomena,"  ""Sweet, endearing, and impactful, ""Philomena"" delivers an emotionally-saturated story with an amazing performance by Judi Dench.  ""Muy buena pelicula, la recomiendo  ""Beautifully filmed with strong performances from it""s lead cast. Philomena is an emotional journey that will leave you in tears"
the_worlds_end,"  ""Aliens, Simon Pegg and Nick frost what else could we need?  ""Another great film from the Wright-Frost-Pegg trio of dreams. The time flies by, even without some of the charm of Hot Fuzz."
rush_2013,"  ""Entertaining & all-around solid!  ""Special Effects: 1,0/Sound Effects: 1,0/Acting: 1,0/Story: 2,0"
lore," Fascinating time period to examine.  ""Interesting.  Holds your attention all the way through the end credits.  ""Looked and sounded like a TV soap. (abandoned after 15m)  ""Do not c this movie waste of money"
the_gatekeepers_2012,"  ""Insightful and informative.  ""boring doc, fell asleep"
the_hunt_2013,"  ""Incredible. Hard to describe the heightened levels of tension and nuance in this film. I spent every moment asking myself “What if...?” and thinking “there, but for the grace of God, go I...”  ""Required viewing. Riveting and scary movie that shows how quickly a lie can turn people against you. A classic masterpiece.  ""This movie is very important. Anyone who teaches or knows a teacher should see this film! Raises important questions about the way we ask questions in times of doubt and the weight of judgement of others - just or unjust."
no_2012," literally so good wow  ""Both interesting and instructive!"
le_passe,"  ""Complicated and sad domestic drama.  ""Simple But Full Of Means  ""Very subtle and unsettling.  Berenice Bejo won the ""Special Jury Award  Berenice Bejo won the ""Special Jury Award"
behind_the_candelabra,"  ""Liberace was crazy as hell - but his boy toy was even crazier  ""Behind the Candelabra serves up a menu of candid flamboyance, intense romance and a brilliant flame of unresolved conflict from the cockpit of the concert stage."
the_spectacular_now,"  ""Can""t speak highly enough of this film.  ""I loved the beginning, I was hooked during the middle, but I HATED the ending."
i_am_divine,"  ""Especially if you enjoy John Waters\"" films, you must see the life of ""Divine.""  ""A fascinating individual remembered through excellent archive footage and interviews with friends and family. Well worth a watch."
cutie_and_the_boxer," A touching story about the power of art and of love.  ""What a great movie and an interesting look into the lives of two artists!  ""Really good love story - way better than I expected  ""Beautiful filmmaking, subtle story arc."
museum_hours,"  ""What else is Art but everything drenched in varying shades of subtlety?  ""An unexpected meditative gem, I feel like I just spent an hour in the Kunsthistorisches Museum in Vienna.  ""Blurs the boundary between physical art and cinema in a way that very few films accomplish successfully. A mesmerizing and subtle love story."
the_crash_reel_2013,"  ""Poignant truths of sports life.  ""Excelente documental.  ""Its dangerous to test the limits until the limits crush you with your test.  ""Must feel documentary"
a_touch_of_sin,"  ""Chillingly relatable  ""It is the best by Jia.  ""Not really about anything (that interested me)"
in_a_world_2013,"  ""This film was solid."
blue_is_the_warmest_color,"  ""Never before has it been so difficult to finish a movie  ""Searingly real with fiery performances by the two leads  ""the French invented romance"
the_sapphires_2012,"  ""Upbeat, diverting, with sublime music. It""s got my endorphins rocking!  ""I really liked this film very heartfelt  ""just rewatched this movie and it makes me so happy despite its flaws"
the_great_beauty," great film with impeccable direction, creative photography and an excellent cast.  ""A masterpiece in the tradition of the best Italian movie directors."
the_history_of_future_folk_2012,"  ""It""s ok, but not really worth the time.  I think the band""s big NY following swayed the reviews.  ""Great little family movie with toe-tapping music.  ""Great story, characters, music & low-budget in all the best ways.  ""Wicked clever and hilarious. Pinnacle of indie style. It""s funny, real, and well made."
war_witch,"  ""Heart wrenching but beautiful portrayal of a young girl who just keeps hanging on...  ""Moving yet disturbing."
star_trek_into_darkness,"  ""Well acted and certainly a fun movie.  ""The movie is wonderful  ""love how they twisted it from the original story. superb "
drug_war_2013,"  ""action packed, a classic Johnnie To film.  ""Gritty cop thriller where the action never seemingly lets up."
a_band_called_death_2013,"  ""83. Very interesting. If you like this you""ll love Searching For Sugarman.  ""A stellar Documentary about the bond of Brothers and what they will do for each other. Great Band, Great Music, Great Story  ""holy shit this was awesome.\nhow have I only seen this NOW?!  ""an awesome documentary! shows  some interesting things about  the record business in the 70s"
the_conjuring,"  ""Simple but well crafted horror movie.  ""Probably one of the scariest movies I""ve ever watched  ""Thats what you expect from a horror movie!"
beyond_the_hills_2012,"  ""A powerful drama about faith and the life in the mountains of Romania. It also reminds me much of Denis Diderot""s The Nun.  but you can\""t ignore where the movie is pointing out on what went wrong. In my opinion, it is a must see and surely suggest it for all, well, mostly adults for its sensitiveness.\n\n8/10  ""Only second only film I have ever given up on in my life. Slow, slow and dull  ""Slow but completely engrossing this reality based ""exorcism gone wrong"" tale if far more nuanced and balanced than I expected.  the film closes with exactly the same remark: ""I have presented you with the facts, and leave the consequences to your judgment; my work is done"
we_steal_secrets_the_story_of_wikileaks_2013,"  ""Informative, longer than it needed to be, but still fairly impartial. Interesting to watch."
our_children_2012,"  ""Trivial, & disjointed."
deceptive_practice_the_mysteries_and_mentors_of_ricky_jay,"  ""http://filmreviewsnsuch.blogspot.com/2014/03/deceptive-practice-mysteries-and.html"
still_mine,"  ""outstanding human interest story  ""Touching love story."
after_tiller_2013,"  ""An excellent view from the ""other side"" - a side that is often vilified, misunderstood and devalued.  ""Never in a million years would I have thought that I would like this movie!  But it made me stop & think about my opinions!  ""This is such an important film and needs to be seen by everyone.  ""This is a Pro Abortion or Pro Choice Film. Watching it, watching ads that support previews, supports this side of the cause."
caesar_must_die_2012,"  ""No real actor could have brought the emotional power we find in ""Cesare Deve Morire  an interesting hybrid between a documentary, a theater piece and a drama. Absorbing work with a powerful ending.  ""Mesclando a ficção com o documentário (o que o aproxima do grande ""Jogo de Cena  """"It\""s an arresting, playful and moving film ...""  ""Odkedy som sa zoznamil s umenim, tato cela sa premenila na vezenie"
gimme_the_loot_2012,"  ""It""s like Godard and Spike Lee had a lovechild together.  ""well crafted ""caper movie"" of sorts  ""Adorable and rewarding, in none of the usual ways."
the_punk_singer_2013,"  ""Very good documentary.  ""I had liked some of her music but now that I know about her i love her."
much_ado_about_nothing_2012," Funny, intelligent and sensitive view on accepting goodbyes.  ""This movieth is the horror.  I wast did force to watcheth this and anon I speaketh like this.  ""amazing performances.  i""m always amazed to see talent shine through outside the hollywood movie template"
the_angels_share," Interesting movie. A clever comedy drama movie, based in Scotland.  ""Needed subtitles to understand it. Lol . We loved it .  ""A funny movie with a great message  ""Just the right amount of Scottish magic in""ere!"
iron_man_3," Metal man vs Blaze rods   ""As much as i enjoy this character.... this was not the best  ""Best of the trilogy but it""s still trash."
what_richard_did," The movie was okay but the ending left u perplexed  ""A very disappointing ending."
mother_of_george_2013,"  ""Good movie aesthetic and cultural point of view. The film is a little sleepy, but has value.  ""A touching immigrant drama in which the camera loves foregrounding as much as it loves it""s characters.  ""Had potential, and there""s some okay moments, but mostly it just feels bobbled and derivative."
our_nixon,"  ""tricky dicky with his pants down!!  ""Excellent archive film!  ""Fascinating look inside that alternates between total contempt and awe for Nixon."
this_is_the_end,"  ""Simply the best stoner movie of all time.  ""This movie was really funny. Amazing plot.  ""RATING: B-  Director: Seth Rogen, Evan Goldberg"
inequality_for_all_2013,"  ""Right on point but could have been summed up in a half hour.   ""interesting economic doc"
a_place_at_the_table_2013,"  ""Top Chef accountability  ""Woooow una realidad muy desconocida por nosotros"
upstream_color,"  ""It""s wasted my time.  ""8/10 nightmarishly dreamy trip"
my_brother_the_devil_2012," Riveting and brilliantly acted, directed and a good storyline.  ""Emotionally involving story plus great photography.  ""beautiful storytelling with its faults but a damn good film."
fill_the_void," I am very interested in Orthodox Jews and their lifestyle, so I watched with pleasure ""Fill the Void  ""Beautifully written and powerfully directed, this takes a heartfelt look at cultural pressure towards marriage without insulting it.  ""In LOVE with this film. The best I""ve seen in a while.  ""A film which by documenting the facts of orthodox Jewish marriages, questions the morality of arranged marriages."
prisoners_2013,"  ""From the best movies I have ever seen in my life but what the heck happened to Keller dover  ""91%. Close to a 5 star. Great suspense story. Hugh Jackmans character is super intense and an intriguing character. Definitely worth the rewatch  ""Jake""s best role. An amazing movie.  ""This movie is under appreciated, under-awarded, and underrated. (As seen on this site). Prisoners is a perfect thriller."
what_maisie_knew_2012," It""s the performances of the 5 principle actors that resonate.  ""Sad set of parents. Awesome step parents. Great acting by all   ""With a bit more of subtlety, Maisie would have understood a bit less, and I would have liked the movie a bit more."
sunshine_on_leith,"  ""It""s all songs and happiness but, if you tolerate that, it is bright and not bad.  ""Edinburgh + musical <3"
koch_2012," How""m I doin? 3.5 stars :)  ""Very well done. Informative and engaging.  ""I loved this portrait of an ever-smiling magnetic Personality who found loneliness at the top."
in_the_house_2013,"  ""Enthralling and gloriously unpredictable.  ""I did not enjoy it, I did not understand it, and it""s too dark for my liking."
computer_chess_2013,"  ""Not very engaging, interesting or funny.  ""It goes places and then it goes some more distant places"
the_wolf_of_wall_street_2013," Boa direção, atuação, progresão e mensagem.  ""EREÇÃO DIRETO MAN MARGOT TA DMS  ""For a 3 hour movie it had me hooked. Leo never disappoints. "
hannah_arendt,"  ""http://filmreviewsnsuch.blogspot.com/2015/08/hannah-arendt.html"
the_way_way_back,"  ""It""s a juicy movie, however it could be a little more intimate  ""This is one of my favourite movies because I find it highly relatable with my values and beliefs.  ""Es divertida, dramática y tiene una muy buena historia.\n¡TOTALMENTE\nRECOMENDADA!"
yossi_2013,"  """" Smart, moving, and deeply empathetic, Yossi is a thoughtful examination of love and grief. ""  ""I wouldn""t watch it if you""re depressed!  ""beautiful and sad love story. not all doom and gloom makes a nice and refreshing change.  ""Mejor que la uno, más feliz, pero poco creible. Lindos personajes"
narco_cultura_2013,"  ""???????????????????????  ""A fascinating subculture."
side_effects_2013," Better than expected - the plot is engaging and the twists work.  ""Amazing, well worth watching. To say anything more would spoil the plot"
saving_mr_banks_2013,"  ""Pretends to be a movie about Disney, but actually is about family.  ""The best PG-13 remake of the Mary Poppins movie!!!!!!!  ""sweet movie with top notch professional casting. the flashbacks were exceptionally well done, and added to the story. easy to recommend."
happy_people_a_year_in_the_taiga,"  ""Fantastic. So genuine and admirable these folks are...\nA very fulfilling documentary, especially if you enjoy winter camping :)  ""Pretty plain documentary with subpar cinematography. But I always get a kick out of Werner Herzog""s narration.  ""I don""t even know why I love it so much."
warm_bodies,"  ""Great and well done movie!  Very humorous in a sick sort of way the only other Movie I have seen with Zombies is a movie titled ""Fido"" which is equally good!  ""psychologically we all have a conscience, even zombies! nicholas hoult""s voice-over acting is everything <3"
we_are_what_we_are_2013,"  ""More plodding than creepy.  ""Solid acting a unique storyline"
the_trials_of_muhammad_ali_2013,"  ""Paying our respects to the champ..  ""http://www.clevelandmovieblog.com/2013/10/the-trials-of-muhammad-ali-october-18th.html"
from_up_on_poppy_hill," Came into this one with low expectations but REALLY enjoyed watching with the family!  ""Goro Miyazaki animates this ""second chance"" well and infuses it with fun soul, telling a pleasantly down-to-earth, if unambitious, teen romance."
the_silence_2013,"  ""This one is a real life scary and a good detective one.  ""Gripping investigative German thriller with slow-pace narration.  ""Fairly engaging.\nHowever, what""s the point for all the fusses as everything has been open at the beginning."
