Year,Movie Link
2000,"['rottentomatoes.com/m/chicken_run', 'rottentomatoes.com/m/the_taste_of_others', 'rottentomatoes.com/m/yi_yi', 'rottentomatoes.com/m/memento', 'rottentomatoes.com/m/the_life_and_times_of_hank_greenberg', 'rottentomatoes.com/m/you_can_count_on_me', 'rottentomatoes.com/m/1103281-traffic', 'rottentomatoes.com/m/best_in_show', 'rottentomatoes.com/m/croupier', 'rottentomatoes.com/m/not_one_less', 'rottentomatoes.com/m/1095420-high_fidelity', 'rottentomatoes.com/m/dark_days', 'rottentomatoes.com/m/filth_and_the_fury', 'rottentomatoes.com/m/almost_famous', 'rottentomatoes.com/m/cast_away', 'rottentomatoes.com/m/girlfight', 'rottentomatoes.com/m/1104207-panic', 'rottentomatoes.com/m/widow_of_st_pierre', 'rottentomatoes.com/m/sexy_beast', 'rottentomatoes.com/m/aimee_and_jaguar', 'rottentomatoes.com/m/wattstax', 'rottentomatoes.com/m/exorcist_the_version_youve_never_seen', 'rottentomatoes.com/m/emperors_new_groove', 'rottentomatoes.com/m/meet_the_parents', 'rottentomatoes.com/m/erin_brockovich', 'rottentomatoes.com/m/battle_royale', 'rottentomatoes.com/m/billy_elliot', 'rottentomatoes.com/m/state_and_main', 'rottentomatoes.com/m/nico_and_dani', 'rottentomatoes.com/m/xmen', 'rottentomatoes.com/m/nurse_betty', 'rottentomatoes.com/m/thirteen_days', 'rottentomatoes.com/m/chunhyangdyun_2000', 'rottentomatoes.com/m/shadow_of_the_vampire', 'rottentomatoes.com/m/chuck_and_buck', 'rottentomatoes.com/m/original_kings_of_comedy', 'rottentomatoes.com/m/merci_pour_le_chocolat', 'rottentomatoes.com/m/ghost_dog_the_way_of_the_samurai', 'rottentomatoes.com/m/love_and_basketball', 'rottentomatoes.com/m/beau_travail', 'rottentomatoes.com/m/1097991-george_washington', 'rottentomatoes.com/m/wonder_boys', 'rottentomatoes.com/m/house_of_mirth', 'rottentomatoes.com/m/gladiator', 'rottentomatoes.com/m/lakeboat', 'rottentomatoes.com/m/requiem_for_a_dream', 'rottentomatoes.com/m/shanghai_noon', 'rottentomatoes.com/m/fantasia_2000', 'rottentomatoes.com/m/pollock', 'rottentomatoes.com/m/o_brother_where_art_thou', 'rottentomatoes.com/m/the_vertical_ray_of_the_sun', 'rottentomatoes.com/m/space_cowboys', 'rottentomatoes.com/m/tao_of_steve', 'rottentomatoes.com/m/1100998-contender', 'rottentomatoes.com/m/virgin_suicides', 'rottentomatoes.com/m/quills', 'rottentomatoes.com/m/keep_the_river_on_your_right', 'rottentomatoes.com/m/finding_forrester', 'rottentomatoes.com/m/rugrats_in_paris', 'rottentomatoes.com/m/tigerland', 'rottentomatoes.com/m/remember_the_titans', 'rottentomatoes.com/m/unbreakable', 'rottentomatoes.com/m/code_unknown', 'rottentomatoes.com/m/1097859-sunshine', 'rottentomatoes.com/m/my_dog_skip', 'rottentomatoes.com/m/the_big_kahuna', 'rottentomatoes.com/m/frequency', 'rottentomatoes.com/m/american_psycho', 'rottentomatoes.com/m/charlies_angels', 'rottentomatoes.com/m/dancer_in_the_dark', 'rottentomatoes.com/m/keeping_the_faith', 'rottentomatoes.com/m/gangster-no-1', 'rottentomatoes.com/m/shadow_magic', 'rottentomatoes.com/m/1098038-shaft', 'rottentomatoes.com/m/u571', 'rottentomatoes.com/m/grateful_dawg', 'rottentomatoes.com/m/timecode', 'rottentomatoes.com/m/about_adam', 'rottentomatoes.com/m/1095081-boiler_room', 'rottentomatoes.com/m/small_time_crooks', 'rottentomatoes.com/m/1097046-dinosaur', 'rottentomatoes.com/m/yards', 'rottentomatoes.com/m/bring_it_on', 'rottentomatoes.com/m/anywhere_but_here', 'rottentomatoes.com/m/1098149-patriot', 'rottentomatoes.com/m/chocolat', 'rottentomatoes.com/m/1099492-saving_grace', 'rottentomatoes.com/m/princess_and_the_warrior', 'rottentomatoes.com/m/return_to_me', 'rottentomatoes.com/m/wonderland_2000', 'rottentomatoes.com/m/claim', 'rottentomatoes.com/m/the-tigger-movie', 'rottentomatoes.com/m/pitch_black', 'rottentomatoes.com/m/mission_impossible_2', 'rottentomatoes.com/m/kikujiro', 'rottentomatoes.com/m/1097245-hamlet', 'rottentomatoes.com/m/alice_et_martin', 'rottentomatoes.com/m/1103231-gift', 'rottentomatoes.com/m/dr_t_and_the_women', 'rottentomatoes.com/m/1097259-road_trip']"
2001,"['rottentomatoes.com/m/monsters_inc', 'rottentomatoes.com/m/crouching_tiger_hidden_dragon', 'rottentomatoes.com/m/time-out-l-emploi-du-temps', 'rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring', 'rottentomatoes.com/m/dish', 'rottentomatoes.com/m/with_a_friend_like_harry', 'rottentomatoes.com/m/werckmeister_harmonies', 'rottentomatoes.com/m/ghost_world', 'rottentomatoes.com/m/in_the_bedroom', 'rottentomatoes.com/m/im_going_home', 'rottentomatoes.com/m/spy_kids', 'rottentomatoes.com/m/the-endurance', 'rottentomatoes.com/m/y_tu_mama_tambien', 'rottentomatoes.com/m/lagaan_once_upon_a_time_in_india', 'rottentomatoes.com/m/no_mans_land', 'rottentomatoes.com/m/last_resort_2001', 'rottentomatoes.com/m/startupcom', 'rottentomatoes.com/m/devils_backbone', 'rottentomatoes.com/m/amores_perros', 'rottentomatoes.com/m/hedwig_and_the_angry_inch', 'rottentomatoes.com/m/the_circle_2001', 'rottentomatoes.com/m/apocalypse_now_redux_2001', 'rottentomatoes.com/m/amelie', 'rottentomatoes.com/m/shrek', 'rottentomatoes.com/m/under_the_sand', 'rottentomatoes.com/m/dogtown_and_zboys', 'rottentomatoes.com/m/mostly_martha', 'rottentomatoes.com/m/in_the_mood_for_love_2001', 'rottentomatoes.com/m/millennium_actress_2001', 'rottentomatoes.com/m/1075984-iron_monkey', 'rottentomatoes.com/m/the_gleaners_and_i', 'rottentomatoes.com/m/together_2001', 'rottentomatoes.com/m/our_song', 'rottentomatoes.com/m/kandahar_le_soleil_derriere_la_lune', 'rottentomatoes.com/m/dinner_rush', 'rottentomatoes.com/m/eureka_2001', 'rottentomatoes.com/m/divided_we_fall', 'rottentomatoes.com/m/ginger_snaps', 'rottentomatoes.com/m/gosford_park', 'rottentomatoes.com/m/1108624-road_home', 'rottentomatoes.com/m/life_and_debt', 'rottentomatoes.com/m/trembling-before-gd', 'rottentomatoes.com/m/italian_for_beginners', 'rottentomatoes.com/m/101_reykjavik', 'rottentomatoes.com/m/how_i_killed_my_father', 'rottentomatoes.com/m/donnie_darko', 'rottentomatoes.com/m/day_i_became_a_woman', 'rottentomatoes.com/m/mulholland_dr', 'rottentomatoes.com/m/oceans_eleven', 'rottentomatoes.com/m/la_cienaga', 'rottentomatoes.com/m/1109257-others', 'rottentomatoes.com/m/va_savoir', 'rottentomatoes.com/m/nowhere-in-africa', 'rottentomatoes.com/m/calle_54', 'rottentomatoes.com/m/faithless_2001', 'rottentomatoes.com/m/harry_potter_and_the_sorcerers_stone', 'rottentomatoes.com/m/closet', 'rottentomatoes.com/m/thirteen_conversations_about_one_thing', 'rottentomatoes.com/m/1106648-lie', 'rottentomatoes.com/m/1111741-rain', 'rottentomatoes.com/m/man_who_wasnt_there', 'rottentomatoes.com/m/what_time_is_it_there', 'rottentomatoes.com/m/waking_life', 'rottentomatoes.com/m/deep_end', 'rottentomatoes.com/m/go_tigers', 'rottentomatoes.com/m/bridget_jones_diary', 'rottentomatoes.com/m/little_otik', 'rottentomatoes.com/m/business_of_strangers', 'rottentomatoes.com/m/innocence2000', 'rottentomatoes.com/m/moulin_rouge_2001', 'rottentomatoes.com/m/diamond_men', 'rottentomatoes.com/m/lumumba', 'rottentomatoes.com/m/1111227-iris', 'rottentomatoes.com/m/jump_tomorrow', 'rottentomatoes.com/m/1104203-pledge', 'rottentomatoes.com/m/black_hawk_down', 'rottentomatoes.com/m/beautiful_mind', 'rottentomatoes.com/m/ai_artificial_intelligence', 'rottentomatoes.com/m/tailor_of_panama', 'rottentomatoes.com/m/tape', 'rottentomatoes.com/m/cats_meow', 'rottentomatoes.com/m/our_lady_of_the_assassins', 'rottentomatoes.com/m/training_day', 'rottentomatoes.com/m/snatch', 'rottentomatoes.com/m/joy_ride', 'rottentomatoes.com/m/1108799-score', 'rottentomatoes.com/m/brotherhood_of_the_wolf', 'rottentomatoes.com/m/buffalo_soldiers', 'rottentomatoes.com/m/songcatcher', 'rottentomatoes.com/m/me_you_them', 'rottentomatoes.com/m/jimmy_neutron_boy_genius', 'rottentomatoes.com/m/before_night_falls', 'rottentomatoes.com/m/tortilla_soup', 'rottentomatoes.com/m/piano_teacher', 'rottentomatoes.com/m/fat_girl', 'rottentomatoes.com/m/behind_the_sun', 'rottentomatoes.com/m/chopper', 'rottentomatoes.com/m/legally_blonde', 'rottentomatoes.com/m/made', 'rottentomatoes.com/m/baby_boy']"
2002,"['rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers', 'rottentomatoes.com/m/spirited_away', 'rottentomatoes.com/m/catch_me_if_you_can', 'rottentomatoes.com/m/1122382-spellbound', 'rottentomatoes.com/m/rivers_and_tides_andy_goldsworthy_working_with_time', 'rottentomatoes.com/m/man_without_a_past', 'rottentomatoes.com/m/pianist', 'rottentomatoes.com/m/bowling_for_columbine', 'rottentomatoes.com/m/read_my_lips', 'rottentomatoes.com/m/about_a_boy', 'rottentomatoes.com/m/monsoon_wedding', 'rottentomatoes.com/m/1114154-insomnia', 'rottentomatoes.com/m/minority_report', 'rottentomatoes.com/m/spiderman', 'rottentomatoes.com/m/1118700-adaptation', 'rottentomatoes.com/m/promises', 'rottentomatoes.com/m/trials_of_henry_kissinger', 'rottentomatoes.com/m/infernal_affairs', 'rottentomatoes.com/m/talk_to_her', 'rottentomatoes.com/m/bloody_sunday', 'rottentomatoes.com/m/broken_wings_2002', 'rottentomatoes.com/m/nine_queens', 'rottentomatoes.com/m/open_hearts', 'rottentomatoes.com/m/kid_stays_in_the_picture', 'rottentomatoes.com/m/chicago', 'rottentomatoes.com/m/scratch_2002', 'rottentomatoes.com/m/atanarjuat_the_fast_runner_2002', 'rottentomatoes.com/m/standing_in_the_shadows_of_motown', 'rottentomatoes.com/m/the_weather_underground', 'rottentomatoes.com/m/alias_betty', 'rottentomatoes.com/m/lantana', 'rottentomatoes.com/m/rabbitproof_fence', 'rottentomatoes.com/m/murderous_maids', 'rottentomatoes.com/m/russian_ark', 'rottentomatoes.com/m/the_girl_from_paris', 'rottentomatoes.com/m/cockettes', 'rottentomatoes.com/m/roger_dodger', 'rottentomatoes.com/m/about_schmidt', 'rottentomatoes.com/m/baran', 'rottentomatoes.com/m/lilo_and_stitch', 'rottentomatoes.com/m/lovely_and_amazing', 'rottentomatoes.com/m/late_marriage', 'rottentomatoes.com/m/i_am_trying_to_break_your_heart', 'rottentomatoes.com/m/harry_potter_and_the_chamber_of_secrets', 'rottentomatoes.com/m/monsters_ball', 'rottentomatoes.com/m/1120292-spider', 'rottentomatoes.com/m/bourne_identity', 'rottentomatoes.com/m/24_hour_party_people', 'rottentomatoes.com/m/narc', 'rottentomatoes.com/m/1112954-rookie', 'rottentomatoes.com/m/blind_spot_hitlers_secretary', 'rottentomatoes.com/m/lawless_heart', 'rottentomatoes.com/m/one_hour_photo', 'rottentomatoes.com/m/metropolis_2002', 'rottentomatoes.com/m/road_to_perdition', 'rottentomatoes.com/m/the_royal_tenenbaums', 'rottentomatoes.com/m/son_of_the_bride', 'rottentomatoes.com/m/la_stanza_del_figlio', 'rottentomatoes.com/m/springtime-in-a-small-town', 'rottentomatoes.com/m/good_girl', 'rottentomatoes.com/m/barbershop', 'rottentomatoes.com/m/kissing_jessica_stein', 'rottentomatoes.com/m/elling', 'rottentomatoes.com/m/real_women_have_curves', 'rottentomatoes.com/m/morvern_callar', 'rottentomatoes.com/m/margaret-cho-notorious-cho', 'rottentomatoes.com/m/the_believer', 'rottentomatoes.com/m/punchdrunk_love', 'rottentomatoes.com/m/hours', 'rottentomatoes.com/m/stuart_little_2', 'rottentomatoes.com/m/1117377-all_or_nothing', 'rottentomatoes.com/m/drumline', 'rottentomatoes.com/m/pauline_and_paulette', 'rottentomatoes.com/m/satin_rouge', 'rottentomatoes.com/m/better_luck_tomorrow', 'rottentomatoes.com/m/secret_ballot', 'rottentomatoes.com/m/sunshine_state', 'rottentomatoes.com/m/gigantic', 'rottentomatoes.com/m/8_women', 'rottentomatoes.com/m/antwone_fisher', 'rottentomatoes.com/m/wild_thornberrys_movie', 'rottentomatoes.com/m/tully', 'rottentomatoes.com/m/ice_age', 'rottentomatoes.com/m/shanghai_ghetto', 'rottentomatoes.com/m/nicholas_nickleby_2002', 'rottentomatoes.com/m/undercover_brother', 'rottentomatoes.com/m/secretary', 'rottentomatoes.com/m/8_mile', 'rottentomatoes.com/m/changing_lanes', 'rottentomatoes.com/m/last_orders', 'rottentomatoes.com/m/signs', 'rottentomatoes.com/m/biggie_and_tupac', 'rottentomatoes.com/m/tadpole', 'rottentomatoes.com/m/warm_water_under_a_red_bridge', 'rottentomatoes.com/m/panic_room', 'rottentomatoes.com/m/dangerous_lives_of_altar_boys', 'rottentomatoes.com/m/my_big_fat_greek_wedding', 'rottentomatoes.com/m/frida', 'rottentomatoes.com/m/gangs_of_new_york', 'rottentomatoes.com/m/comedian']"
2003,"['rottentomatoes.com/m/finding_nemo', 'rottentomatoes.com/m/lost_in_translation', 'rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king', 'rottentomatoes.com/m/capturing_the_friedmans', 'rottentomatoes.com/m/the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara', 'rottentomatoes.com/m/american_splendor', 'rottentomatoes.com/m/sweet_sixteen', 'rottentomatoes.com/m/raising_victor_vargas', 'rottentomatoes.com/m/chavez_inside_the_coup', 'rottentomatoes.com/m/winged_migration', 'rottentomatoes.com/m/station_agent', 'rottentomatoes.com/m/the_triplets_of_belleville', 'rottentomatoes.com/m/to_be_and_to_have', 'rottentomatoes.com/m/dirty_pretty_things', 'rottentomatoes.com/m/school_of_rock', 'rottentomatoes.com/m/festival_express', 'rottentomatoes.com/m/bus_174', 'rottentomatoes.com/m/shattered_glass', 'rottentomatoes.com/m/los_angeles_plays_itself', 'rottentomatoes.com/m/lost_in_la_mancha', 'rottentomatoes.com/m/spring_summer_fall_winterand_spring', 'rottentomatoes.com/m/city_of_god', 'rottentomatoes.com/m/memories_of_murder_2003', 'rottentomatoes.com/m/whale_rider', 'rottentomatoes.com/m/best_of_youth', 'rottentomatoes.com/m/magdalene_sisters', 'rottentomatoes.com/m/the_man_on_the_train', 'rottentomatoes.com/m/alien_the_directors_cut_2007', 'rottentomatoes.com/m/in_america', 'rottentomatoes.com/m/mystic_river', 'rottentomatoes.com/m/28_days_later', 'rottentomatoes.com/m/baadasssss', 'rottentomatoes.com/m/far_from_heaven', 'rottentomatoes.com/m/saraband', 'rottentomatoes.com/m/stevie', 'rottentomatoes.com/m/tokyo_godfathers', 'rottentomatoes.com/m/im_not_scared', 'rottentomatoes.com/m/x2_xmen_united', 'rottentomatoes.com/m/freaky_friday', 'rottentomatoes.com/m/kill_bill_vol_1', 'rottentomatoes.com/m/mighty_wind', 'rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world', 'rottentomatoes.com/m/1118347-quiet_american', 'rottentomatoes.com/m/elf', 'rottentomatoes.com/m/caterina_in_the_big_city', 'rottentomatoes.com/m/zatoichi_2003', 'rottentomatoes.com/m/in_this_world', 'rottentomatoes.com/m/five_obstructions', 'rottentomatoes.com/m/bend_it_like_beckham', 'rottentomatoes.com/m/the_son_2003', 'rottentomatoes.com/m/intimate_strangers_2003', 'rottentomatoes.com/m/funny-ha-ha', 'rottentomatoes.com/m/pieces_of_april', 'rottentomatoes.com/m/the_cuckoo_2003', 'rottentomatoes.com/m/dracula_pages_from_a_virgins_diary', 'rottentomatoes.com/m/noi-the-albino', 'rottentomatoes.com/m/matchstick_men', 'rottentomatoes.com/m/secret_lives_of_dentists', 'rottentomatoes.com/m/swimming_pool', 'rottentomatoes.com/m/monsieur_ibrahim', 'rottentomatoes.com/m/tibet_cry_of_the_snow_lion', 'rottentomatoes.com/m/yossi_and_jagger', 'rottentomatoes.com/m/a_tale_of_two_sisters', 'rottentomatoes.com/m/ten', 'rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl', 'rottentomatoes.com/m/lilja_4_ever', 'rottentomatoes.com/m/thirteen', 'rottentomatoes.com/m/21_grams', 'rottentomatoes.com/m/gloomy_sunday', 'rottentomatoes.com/m/chaos2001', 'rottentomatoes.com/m/bukowski_born_into_this', 'rottentomatoes.com/m/barbarian_invasions', 'rottentomatoes.com/m/bad_santa', 'rottentomatoes.com/m/open_range', 'rottentomatoes.com/m/stone_reader', 'rottentomatoes.com/m/amandla_a_revolution_in_four_part_harmony', 'rottentomatoes.com/m/confessions_of_a_dangerous_mind', 'rottentomatoes.com/m/chihwaseon', 'rottentomatoes.com/m/seabiscuit', 'rottentomatoes.com/m/25th_hour', 'rottentomatoes.com/m/step_into_liquid', 'rottentomatoes.com/m/ghosts_of_the_abyss', 'rottentomatoes.com/m/divine_intervention_2003', 'rottentomatoes.com/m/blue_car', 'rottentomatoes.com/m/cooler', 'rottentomatoes.com/m/holes', 'rottentomatoes.com/m/stoked_the_rise_and_fall_of_gator', 'rottentomatoes.com/m/bubba_ho_tep', 'rottentomatoes.com/m/charlotte_sometimes', 'rottentomatoes.com/m/1127787-big_fish', 'rottentomatoes.com/m/mondays_in_the_sun', 'rottentomatoes.com/m/intolerable_cruelty', 'rottentomatoes.com/m/good_thief', 'rottentomatoes.com/m/1128577-peter_pan', 'rottentomatoes.com/m/i_capture_the_castle', 'rottentomatoes.com/m/owning_mahowny', 'rottentomatoes.com/m/matrix_reloaded', 'rottentomatoes.com/m/tupac_resurrection', 'rottentomatoes.com/m/friday_night', 'rottentomatoes.com/m/house_of_sand_and_fog']"
2004,"['rottentomatoes.com/m/incredibles', 'rottentomatoes.com/m/sideways', 'rottentomatoes.com/m/spiderman_2', 'rottentomatoes.com/m/maria_full_of_grace', 'rottentomatoes.com/m/moolaade', 'rottentomatoes.com/m/twilight_samurai', 'rottentomatoes.com/m/hero', 'rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind', 'rottentomatoes.com/m/before_sunset', 'rottentomatoes.com/m/osama', 'rottentomatoes.com/m/shaun_of_the_dead', 'rottentomatoes.com/m/million_dollar_baby', 'rottentomatoes.com/m/the_return', 'rottentomatoes.com/m/control_room', 'rottentomatoes.com/m/touching_the_void', 'rottentomatoes.com/m/harry_potter_and_the_prisoner_of_azkaban', 'rottentomatoes.com/m/born_into_brothels', 'rottentomatoes.com/m/since_otar_left', 'rottentomatoes.com/m/plagues_and_pleasures_on_the_salton_sea', 'rottentomatoes.com/m/super_size_me', 'rottentomatoes.com/m/hotel_rwanda', 'rottentomatoes.com/m/the_story_of_the_weeping_camel', 'rottentomatoes.com/m/vera_drake', 'rottentomatoes.com/m/end_of_the_century_the_story_of_the_ramones', 'rottentomatoes.com/m/shrek_2', 'rottentomatoes.com/m/kinsey', 'rottentomatoes.com/m/lost_boys_of_sudan', 'rottentomatoes.com/m/agronomist', 'rottentomatoes.com/m/riding_giants', 'rottentomatoes.com/m/nobody_knows', 'rottentomatoes.com/m/my_architect', 'rottentomatoes.com/m/tarnation', 'rottentomatoes.com/m/the-bridesmaid', 'rottentomatoes.com/m/downfall', 'rottentomatoes.com/m/collateral', 'rottentomatoes.com/m/good_bye_lenin', 'rottentomatoes.com/m/aviator', 'rottentomatoes.com/m/kitchen_stories', 'rottentomatoes.com/m/mean_creek', 'rottentomatoes.com/m/my_summer_of_love', 'rottentomatoes.com/m/shaolin_soccer', 'rottentomatoes.com/m/metallica_some_kind_of_monster', 'rottentomatoes.com/m/bad_education', 'rottentomatoes.com/m/corporation', 'rottentomatoes.com/m/house_of_flying_daggers', 'rottentomatoes.com/m/woodsman', 'rottentomatoes.com/m/garden_state', 'rottentomatoes.com/m/kill_bill_volume_2', 'rottentomatoes.com/m/going_upriver_the_long_war_of_john_kerry', 'rottentomatoes.com/m/dig', 'rottentomatoes.com/m/brothers_2004', 'rottentomatoes.com/m/donnie_darko_the_directors_cut', 'rottentomatoes.com/m/james_journey_to_jerusalem', 'rottentomatoes.com/m/save_the_green_planet_2004', 'rottentomatoes.com/m/last_life_in_the_universe', 'rottentomatoes.com/m/guerrilla-the-taking-of-patty-hearst', 'rottentomatoes.com/m/distant', 'rottentomatoes.com/m/mean_girls', 'rottentomatoes.com/m/3_iron', 'rottentomatoes.com/m/finding_neverland', 'rottentomatoes.com/m/fahrenheit_911', 'rottentomatoes.com/m/touch-the-sound', 'rottentomatoes.com/m/1126416-mayor_of_the_sunset_strip', 'rottentomatoes.com/m/crimson_gold', 'rottentomatoes.com/m/1136293-lightning_in_a_bottle', 'rottentomatoes.com/m/in_good_company', 'rottentomatoes.com/m/bourne_supremacy', 'rottentomatoes.com/m/sea_inside', 'rottentomatoes.com/m/the_motorcycle_diaries', 'rottentomatoes.com/m/aileen_life_and_death_of_a_serial_killer', 'rottentomatoes.com/m/bright_leaves', 'rottentomatoes.com/m/yes_men', 'rottentomatoes.com/m/friday_night_lights', 'rottentomatoes.com/m/hellboy', 'rottentomatoes.com/m/monster', 'rottentomatoes.com/m/manchurian_candidate', 'rottentomatoes.com/m/outfoxed_rupert_murdochs_war_on_journalism', 'rottentomatoes.com/m/wilbur_wants_to_kill_himself', 'rottentomatoes.com/m/miracle', 'rottentomatoes.com/m/somersault', 'rottentomatoes.com/m/red_lights', 'rottentomatoes.com/m/ray', 'rottentomatoes.com/m/up_and_down', 'rottentomatoes.com/m/broadway_the_golden_age', 'rottentomatoes.com/m/team_america_world_police', 'rottentomatoes.com/m/a_very_long_engagement_2004', 'rottentomatoes.com/m/saddest_music_in_the_world', 'rottentomatoes.com/m/1144992-crash', 'rottentomatoes.com/m/two_brothers', 'rottentomatoes.com/m/machinist', 'rottentomatoes.com/m/daughter_from_danang', 'rottentomatoes.com/m/tae_guk_gi_the_brotherhood_of_war', 'rottentomatoes.com/m/dawn_of_the_dead', 'rottentomatoes.com/m/1132642-mother', 'rottentomatoes.com/m/overnight', 'rottentomatoes.com/m/goodbye_dragon_inn_2004', 'rottentomatoes.com/m/being_julia', 'rottentomatoes.com/m/1135882-uncovered_the_war_on_iraq', 'rottentomatoes.com/m/bon_voyage_2004', 'rottentomatoes.com/m/girl_with_a_pearl_earring']"
2005,"['rottentomatoes.com/m/murderball', 'rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit', 'rottentomatoes.com/m/1152019-good_night_and_good_luck', 'rottentomatoes.com/m/enron_the_smartest_guys_in_the_room', 'rottentomatoes.com/m/march_of_the_penguins', 'rottentomatoes.com/m/wild_parrots_of_telegraph_hill', 'rottentomatoes.com/m/kung_fu_hustle', 'rottentomatoes.com/m/squid_and_the_whale', 'rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire', 'rottentomatoes.com/m/grizzly_man', 'rottentomatoes.com/m/1151898-capote', 'rottentomatoes.com/m/brokeback_mountain', 'rottentomatoes.com/m/ushpizin', 'rottentomatoes.com/m/history_of_violence', 'rottentomatoes.com/m/travelers_and_magicians', 'rottentomatoes.com/m/duma', 'rottentomatoes.com/m/batman_begins', 'rottentomatoes.com/m/water', 'rottentomatoes.com/m/10005788-the_sun', 'rottentomatoes.com/m/our_brand_is_crisis', 'rottentomatoes.com/m/broken_flowers', 'rottentomatoes.com/m/head_on_2005', 'rottentomatoes.com/m/1167811-ballets_russes', 'rottentomatoes.com/m/king_kong', 'rottentomatoes.com/m/millions', 'rottentomatoes.com/m/cache_2005', 'rottentomatoes.com/m/howls_moving_castle', 'rottentomatoes.com/m/up_for_grabs', 'rottentomatoes.com/m/after_innocence', 'rottentomatoes.com/m/kiss_kiss_bang_bang', 'rottentomatoes.com/m/1153077-1153077-pride_and_prejudice', 'rottentomatoes.com/m/tristram_shandy_a_cock_and_bull_story', 'rottentomatoes.com/m/paradise_now', 'rottentomatoes.com/m/40_year_old_virgin', 'rottentomatoes.com/m/1159353-darwins_nightmare', 'rottentomatoes.com/m/new_york_doll', 'rottentomatoes.com/m/cave_of_the_yellow_dog', 'rottentomatoes.com/m/charlie_and_the_chocolate_factory', 'rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith', 'rottentomatoes.com/m/corpse_bride', 'rottentomatoes.com/m/constant_gardener', 'rottentomatoes.com/m/junebug', 'rottentomatoes.com/m/tony_takitani', 'rottentomatoes.com/m/the-heart-of-the-game', 'rottentomatoes.com/m/look_at_me', 'rottentomatoes.com/m/turtles_can_fly', 'rottentomatoes.com/m/2046', 'rottentomatoes.com/m/tell_them_who_you_are', 'rottentomatoes.com/m/walk_the_line', 'rottentomatoes.com/m/proposition', 'rottentomatoes.com/m/shake_hands_with_the_devil_the_journey_of_romeo_dallaire', 'rottentomatoes.com/m/beat_that_my_heart_skipped', 'rottentomatoes.com/m/saving_face', 'rottentomatoes.com/m/rois_et_reine', 'rottentomatoes.com/m/mysterious_skin', 'rottentomatoes.com/m/serenity', 'rottentomatoes.com/m/ongbak', 'rottentomatoes.com/m/gunner_palace', 'rottentomatoes.com/m/mad_hot_ballroom', 'rottentomatoes.com/m/cinderella_man', 'rottentomatoes.com/m/hustle_and_flow', 'rottentomatoes.com/m/moustache', 'rottentomatoes.com/m/1153719-syrian_bride', 'rottentomatoes.com/m/rize', 'rottentomatoes.com/m/worlds_fastest_indian', 'rottentomatoes.com/m/the_perfect_crime_2005', 'rottentomatoes.com/m/three_times', 'rottentomatoes.com/m/oldboy', 'rottentomatoes.com/m/sin_city', 'rottentomatoes.com/m/inside_deep_throat', 'rottentomatoes.com/m/me_and_you_and_everyone_we_know', 'rottentomatoes.com/m/de_zaak_alzheimer', 'rottentomatoes.com/m/13_tzameti', 'rottentomatoes.com/m/1149496-1149496-red_eye', 'rottentomatoes.com/m/beyond_the_gates', 'rottentomatoes.com/m/aliens_of_the_deep', 'rottentomatoes.com/m/threeextremes', 'rottentomatoes.com/m/munich', 'rottentomatoes.com/m/layer_cake', 'rottentomatoes.com/m/match_point', 'rottentomatoes.com/m/dear_frankie', 'rottentomatoes.com/m/war_of_the_worlds', 'rottentomatoes.com/m/lost_embrace', 'rottentomatoes.com/m/aristocrats', 'rottentomatoes.com/m/1147812-warrior', 'rottentomatoes.com/m/kontroll', 'rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe', 'rottentomatoes.com/m/rock_school', 'rottentomatoes.com/m/poohs_heffalump_movie', 'rottentomatoes.com/m/keane', 'rottentomatoes.com/m/wedding_crashers', 'rottentomatoes.com/m/csa_the_confederate_states_of_america', 'rottentomatoes.com/m/zathura_a_space_adventure', 'rottentomatoes.com/m/sisterhood_of_the_traveling_pants', 'rottentomatoes.com/m/upside_of_anger', 'rottentomatoes.com/m/in_her_shoes', 'rottentomatoes.com/m/beautiful_country', 'rottentomatoes.com/m/land_of_the_dead', 'rottentomatoes.com/m/syriana', 'rottentomatoes.com/m/tropical_malady']"
